,Year,Month,Chile,Israel,Japan,Vietnam
0,2010,1,441145.34,164258.0,640346.0,
1,2010,2,290120.67,178531.0,664982.0,
2,2010,3,190455.75,258340.0,709684.0,
3,2010,4,180555.27,267386.0,788212.0,
4,2010,5,170618.17,255820.0,721348.0,
5,2010,6,142795.54,213949.0,677064.0,
6,2010,7,195843.27,238436.0,878582.0,
7,2010,8,188316.27,233242.0,802725.0,
8,2010,9,196115.92,205997.0,717756.0,
9,2010,10,234494.58,325207.0,727278.0,
10,2010,11,255859.02,245013.0,634818.0,
11,2010,12,314317.05,216980.0,648380.0,
0,2011,1,429788.64,191218.0,714099.0,
1,2011,2,305579.42,197257.0,679393.0,
2,2011,3,296140.7,251039.0,352676.0,
3,2011,4,231245.86,260741.0,295826.0,
4,2011,5,190575.13,267838.0,357783.0,
5,2011,6,171328.01,228297.0,432883.0,
6,2011,7,224603.54,236803.0,561489.0,
7,2011,8,197464.24,225100.0,546503.0,
8,2011,9,216102.36,229130.0,538727.0,
9,2011,10,250270.79,269862.0,615701.0,
10,2011,11,277075.48,248226.0,551571.0,
11,2011,12,347110.71,214733.0,572101.0,
0,2012,1,490500.95,189105.0,681786.0,
1,2012,2,387115.2,199773.0,546451.0,
2,2012,3,300258.18,248305.0,676662.0,
3,2012,4,278426.53,295944.0,779481.0,
4,2012,5,218721.94,269367.0,667046.0,
5,2012,6,192207.96,241868.0,682932.0,
6,2012,7,261328.42,241147.0,847194.0,
7,2012,8,249742.51,247543.0,774239.0,
8,2012,9,241553.06,235940.0,658239.0,
9,2012,10,264853.79,298287.0,705848.0,
10,2012,11,299242.34,223449.0,648548.0,
11,2012,12,370328.12,195138.0,689679.0,
0,2013,1,484503.0,167507.0,668610.0,642600.0
1,2013,2,350251.0,183799.0,729460.0,570476.0
2,2013,3,356288.0,251111.0,857024.0,587366.0
3,2013,4,252000.0,300177.0,923017.0,613919.0
4,2013,5,210616.0,283234.0,875408.0,558751.0
5,2013,6,197421.0,241377.0,901066.0,567291.0
6,2013,7,258355.0,245784.0,1003032.0,658325.0
7,2013,8,252228.0,240571.0,906397.0,676719.0
8,2013,9,240671.0,211754.0,866966.0,614827.0
9,2013,10,290725.0,338899.0,928560.0,628695.0
10,2013,11,308510.0,256505.0,839891.0,731034.0
11,2013,12,374636.0,240982.0,864491.0,722349.0
0,2014,1,490976.0,200087.0,944009.0,775960.13
1,2014,2,354125.0,221532.0,880020.0,842586.53
2,2014,3,333977.0,283719.0,1050559.0,708086.01
3,2014,4,254063.0,341833.0,1231471.0,746629.28
4,2014,5,228542.0,346177.0,1097211.0,674096.16
5,2014,6,193004.0,297330.0,1055273.0,541972.2
6,2014,7,270426.0,193869.0,1270048.0,565197.27
7,2014,8,251258.0,164130.0,1109569.0,619188.08
8,2014,9,244717.0,179514.0,1099102.0,572524.49
9,2014,10,302173.0,275888.0,1271705.0,563364.63
10,2014,11,312854.0,219176.0,1168427.0,606059.49
11,2014,12,438276.0,203449.0,1236073.0,657131.55
0,2015,1,560655.0,167508.0,1218393.0,717258.09
1,2015,2,432415.0,187000.0,1386982.0,694995.12
2,2015,3,370776.0,238772.0,1525879.0,639785.41
3,2015,4,313408.0,288747.0,1764691.0,705885.93
4,2015,5,263887.0,281508.0,1641734.0,581855.34
5,2015,6,284005.0,237475.0,1602198.0,539871.9
6,2015,7,331061.0,244968.0,1918356.0,599612.45
7,2015,8,294748.0,232863.0,1817023.0,669731.95
8,2015,9,300488.0,224517.0,1612208.0,631496.08
9,2015,10,360330.0,289666.0,1829265.0,659409.79
10,2015,11,401287.0,209113.0,1647550.0,742245.86
11,2015,12,565276.0,197230.0,1773130.0,761419.01
0,2016,1,730786.0,164813.0,1851895.0,815200.0
1,2016,2,599445.0,191241.0,1891375.0,843726.0
2,2016,3,510732.0,240442.0,2009549.0,830608.0
3,2016,4,374190.0,253047.0,2081697.0,799612.0
4,2016,5,320357.0,297329.0,1893574.0,767372.0
5,2016,6,301805.0,236302.0,1985722.0,710574.0
6,2016,7,440925.0,231823.0,2296451.0,856439.0
7,2016,8,370845.0,211377.0,2048587.0,909866.0
8,2016,9,403192.0,265451.0,1918246.0,823135.0
9,2016,10,456322.0,271706.0,2135905.0,822145.0
10,2016,11,474278.0,287891.0,1875404.0,936779.0
11,2016,12,657823.0,248598.0,2050648.0,897279.0
0,2017,1,964027.0,211893.0,2295668.0,1007238.0
1,2017,2,709043.0,233744.0,2035771.0,1199421.0
2,2017,3,521123.0,293004.0,2205664.0,1005821.0
3,2017,4,469626.0,349228.0,2578970.0,1071650.0
4,2017,5,357953.0,346863.0,2294717.0,972844.0
5,2017,6,322568.0,303053.0,2346442.0,949362.0
6,2017,7,491167.0,270990.0,2681518.0,1036880.0
7,2017,8,480158.0,253659.0,2477428.0,1229163.0
8,2017,9,442503.0,278438.0,2280406.0,975952.0
9,2017,10,481782.0,426284.0,2595148.0,1024899.0
10,2017,11,517243.0,355898.0,2378079.0,1172568.0
11,2017,12,692690.0,290104.0,2521262.0,1276353.0
0,2018,1,893326.0,257068.0,2501409.0,1430242.0
1,2018,2,683023.0,299644.0,2509297.0,1431845.0
2,2018,3,574260.0,393072.0,2607956.0,1343314.0
3,2018,4,436258.0,408882.0,2900718.0,1341913.0
4,2018,5,329515.0,396126.0,2675052.0,1161114.0
5,2018,6,281417.0,310835.0,2704631.0,1183102.0
6,2018,7,409798.0,293910.0,2832040.0,1188817.0
7,2018,8,372443.0,279232.0,2578021.0,1323546.0
8,2018,9,351607.0,281971.0,2159595.0,1212597.0
9,2018,10,369372.0,485747.0,2640610.0,1205157.0
10,2018,11,463974.0,388809.0,2450751.0,1301909.0
11,2018,12,557935.0,325551.0,2631776.0,1374235.0
0,2019,1,625376.0,284825.0,2689339.0,1501766.0
1,2019,2,436778.0,342071.0,2604322.0,1588161.0
2,2019,3,454800.0,425811.0,2760136.0,1410187.0
3,2019,4,377684.0,404908.0,2926685.0,1468766.0
4,2019,5,306465.0,439880.0,2773091.0,1326668.0
5,2019,6,299955.0,365102.0,2880041.0,1185445.0
6,2019,7,376029.0,322822.0,2991189.0,1315792.0
7,2019,8,322858.0,304598.0,2520134.0,1512447.0
8,2019,9,288537.0,404954.0,2272883.0,1561274.0
9,2019,10,306142.0,447053.0,2496568.0,1618337.0
10,2019,11,292215.0,451244.0,2441274.0,1809557.0
11,2019,12,431123.0,358300.0,2526387.0,1710200.0
0,2020,1,509059.0,308500.0,2661022.0,1994100.0
1,2020,2,399782.0,343800.0,1085147.0,1242700.0
2,2020,3,168261.0,80700.0,193658.0,449923.0
3,2020,4,0.0,600.0,2917.0,26241.0
4,2020,5,0.0,2200.0,1663.0,22672.0
5,2020,6,0.0,5800.0,2565.0,8784.0
6,2020,7,0.0,6000.0,3782.0,13940.0
7,2020,8,0.0,20100.0,8658.0,16301.0
8,2020,9,0.0,15100.0,13684.0,13839.0
9,2020,10,0.0,20300.0,27386.0,14800.0
10,2020,11,8732.0,15000.0,56673.0,17700.0
11,2020,12,33260.0,13300.0,58673.0,16300.0
0,2021,1,22378.0,7500.0,46522.0,17736.0
1,2021,2,20491.0,2600.0,7355.0,10950.0
2,2021,3,22744.0,6700.0,12276.0,19418.0
3,2021,4,0.0,30200.0,10853.0,19471.0
4,2021,5,0.0,21500.0,10035.0,13468.0
5,2021,6,0.0,38500.0,9251.0,7203.0
6,2021,7,0.0,49200.0,51055.0,7473.0
7,2021,8,0.0,52900.0,25916.0,9299.0
8,2021,9,0.0,34500.0,17720.0,9503.0
9,2021,10,16351.0,57000.0,22113.0,10555.0
10,2021,11,35944.0,75600.0,20682.0,15030.0
11,2021,12,72114.0,20500.0,12084.0,17163.0
0,2022,1,69735.0,46200.0,17766.0,19727.0
1,2022,2,70275.0,89900.0,16719.0,29517.0
2,2022,3,81230.0,170700.0,66121.0,41740.0
3,2022,4,95731.0,209900.0,139548.0,91907.55
4,2022,5,123335.0,249200.0,147046.0,172948.0
5,2022,6,127118.0,244500.0,120430.0,246142.45
6,2022,7,169642.0,249900.0,144578.0,352579.0
7,2022,8,174068.0,234400.0,169902.0,486407.0
8,2022,9,203519.0,249800.0,206641.0,431909.0
9,2022,10,254828.0,333500.0,498646.0,484355.0
10,2022,11,284050.0,330700.0,934599.0,596919.0
11,2022,12,376948.0,266200.0,1370114.0,707071.0
0,2023,1,477512.0,257400.0,1497472.0,871162.0
1,2023,2,351802.0,307000.0,1475455.0,932969.0
2,2023,3,307706.0,351900.0,1817616.0,895425.0
3,2023,4,268647.0,355200.0,1949236.0,984146.0
4,2023,5,224443.0,376400.0,1899176.0,916257.0
5,2023,6,202720.0,322900.0,2073441.0,975010.0
6,2023,7,267828.0,270200.0,2320694.0,1038563.0
7,2023,8,256058.0,284200.0,2157190.0,1217421.0
8,2023,9,255732.0,304100.0,2184442.0,1054449.0
9,2023,10,330673.0,89700.0,2516623.0,1112526.0
10,2023,11,347754.0,38300.0,2440890.0,1233371.0
11,2023,12,439632.0,52800.0,2734115.0,1371135.0
0,2024,1,506231.0,58600.0,2688478.0,1512313.0
1,2024,2,419183.0,67500.0,2788224.0,1531411.0
2,2024,3,451176.0,78600.0,3081781.0,1599074.0
3,2024,4,395615.0,80100.0,3042900.0,1556533.0
4,2024,5,335372.0,114000.0,3040100.0,1383703.0
