Year,Month,Country,N_visitors
2020,5,Peru,0
2020,6,Peru,0
2020,7,Peru,0
2020,8,Peru,0
2020,9,Peru,0
2020,4,Chile,0
2020,5,Chile,0
2020,6,Chile,0
2020,7,Chile,0
2020,8,Chile,0
2020,9,Chile,0
2020,10,Chile,0
2021,4,Chile,0
2021,5,Chile,0
2021,6,Chile,0
2021,7,Chile,0
2021,8,Chile,0
2021,9,Chile,0
2020,4,South Africa,0
2020,5,South Africa,0
2020,6,South Africa,0
2020,7,South Africa,0
2020,8,South Africa,0
2020,9,South Africa,0
2021,6,Singapore,4729
2016,12,Greece,563987
2020,4,France,0
2020,5,France,0
2020,4,Spain,0
2020,5,Germany,164258
2020,5,Spain,0
2011,12,Portugal,289666
2012,5,Netherlands,1208000
2015,12,Norway,179514
2016,12,Netherlands,932000
2017,8,Netherlands,1910000
2018,2,Netherlands,1073000
2019,4,Norway,240045
2021,5,Norway,23874
2020,4,Thailand,0
2020,5,Thailand,0
2020,6,Thailand,0
2020,7,Thailand,0
2020,8,Thailand,0
2020,9,Thailand,0
2022,6,Egypt,922000
2023,9,Egypt,1325000
2010,10,Australia,494460
2020,4,Argentina,0
2020,5,Argentina,0
2020,6,Argentina,0
2021,8,Argentina,4317
2011,12,Sweden,209113
2012,7,Philippines,376948
2010,8,Denmark,320357
2021,4,Malaysia,9742
2012,3,Bulgaria,336904
2015,1,Bulgaria,393430
2019,2,Bulgaria,482982
2021,12,Uzbekistan,263696
2015,1,United Arab Emirates,1537689
2017,1,Albania,164149
2019,6,Albania,610500
2011,3,Poland,2640000
2011,4,Poland,2866667
2012,3,Poland,2960000
2013,12,Poland,3715000
2016,5,Poland,1500000
2016,6,Poland,1400000
2016,9,Poland,1500000
2016,10,Poland,1400000
2016,12,Poland,1400000
2017,1,Poland,1200000
2017,3,Poland,1400000
2017,4,Poland,1500000
2017,6,Poland,1600000
2017,7,Poland,1900000
2017,8,Poland,2000000
2017,10,Poland,1500000
2017,11,Poland,1400000
2017,12,Poland,1400000
2022,8,Poland,1843000
2022,11,Poland,1246300
2024,1,Poland,4238000
2024,2,Poland,4238000
2024,3,Poland,4238000
2024,4,Poland,4238000
2024,5,Poland,4238000
2013,12,Hungary,2486000
2024,1,Hungary,2856000
2024,2,Hungary,2856000
2024,3,Hungary,2856000
2024,4,Hungary,2856000
2024,5,Hungary,2856000
